t,stage,leg,phase,phase_name,track_body_name,foot_x_w,foot_y_w,foot_z_w,foot_x_b,foot_y_b,foot_z_b,root_yaw
0.008333333333333333,warmup_qsupport,LF,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923802616236245,0.49540750506266856,0.05194834484974006,-8.154459965316216e-05
0.008333333333333333,warmup_qsupport,RF,0.5,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377678746789273,0.5529927079242982,0.04489724140123835,-8.154459965316216e-05
0.008333333333333333,warmup_qsupport,LB,0.5,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.1493229801379153,-0.5463535714703771,0.04185596598228217,-8.154459965316216e-05
0.008333333333333333,warmup_qsupport,RB,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10369182125862043,-0.48891838645790964,0.03480340919001025,-8.154459965316216e-05
0.016666666666666666,warmup_qsupport,LF,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923824561766316,0.49500289767547023,0.05510547300679742,-8.632872377376147e-05
0.016666666666666666,warmup_qsupport,RF,0.5,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377698501733228,0.5525901258925958,0.04808446345543021,-8.632872377376147e-05
0.016666666666666666,warmup_qsupport,LB,0.5,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14932818374107423,-0.5467535501263355,0.04453030031131841,-8.632872377376147e-05
0.016666666666666666,warmup_qsupport,RB,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.1036870339424642,-0.489316339091816,0.03750776789189821,-8.632872377376147e-05
0.025,warmup_qsupport,LF,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923861588744006,0.49460260338246537,0.0589652661802655,-9.156587246937787e-05
0.025,warmup_qsupport,RF,0.5,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377702321592847,0.5521921328780995,0.05197807949568482,-9.156587246937787e-05
0.025,warmup_qsupport,LB,0.5,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14933401012414427,-0.5471481508198528,0.04784488100411837,-9.156587246937787e-05
0.025,warmup_qsupport,RB,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10368161524206461,-0.4897086376869233,0.040856092938661055,-9.156587246937787e-05
0.03333333333333333,warmup_qsupport,LF,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.1492392065670108,0.49420374127612615,0.0635251183193465,-9.720012782729633e-05
0.03333333333333333,warmup_qsupport,RF,0.5,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377683171861282,0.5517958150131028,0.05657510885647473,-9.720012782729633e-05
0.03333333333333333,warmup_qsupport,LB,0.5,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14934047062659148,-0.5475402406326082,0.051803352100261914,-9.720012782729633e-05
0.03333333333333333,warmup_qsupport,RB,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10367555307659408,-0.49009818228309815,0.04485165465518752,-9.720012782729633e-05
