t,stage,root_x,root_y,root_z,roll,pitch,yaw,vx,vy,vz,LF_phase,LF_q_sh_target,LF_q_kn_target,LF_sh_scalar,LF_kn_scalar,LF_phase_name,LF_track_body_name,LF_foot_x_w,LF_foot_y_w,LF_foot_z_w,LF_foot_x_b,LF_foot_y_b,LF_foot_z_b,RF_phase,RF_q_sh_target,RF_q_kn_target,RF_sh_scalar,RF_kn_scalar,RF_phase_name,RF_track_body_name,RF_foot_x_w,RF_foot_y_w,RF_foot_z_w,RF_foot_x_b,RF_foot_y_b,RF_foot_z_b,LB_phase,LB_q_sh_target,LB_q_kn_target,LB_sh_scalar,LB_kn_scalar,LB_phase_name,LB_track_body_name,LB_foot_x_w,LB_foot_y_w,LB_foot_z_w,LB_foot_x_b,LB_foot_y_b,LB_foot_z_b,RB_phase,RB_q_sh_target,RB_q_kn_target,RB_sh_scalar,RB_kn_scalar,RB_phase_name,RB_track_body_name,RB_foot_x_w,RB_foot_y_w,RB_foot_z_w,RB_foot_x_b,RB_foot_y_b,RB_foot_z_b
0.008333333333333333,warmup_qsupport,-1.956889173015952e-05,-0.002062097890302539,0.996931254863739,-0.009687485871899057,-0.00020406143817202046,-8.154459965316216e-05,-0.00013872841373085976,0.043234869837760925,-0.27069705724716187,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923802616236245,0.49540750506266856,0.05194834484974006,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377678746789273,0.5529927079242982,0.04489724140123835,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.1493229801379153,-0.5463535714703771,0.04185596598228217,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10369182125862043,-0.48891838645790964,0.03480340919001025
0.016666666666666666,warmup_qsupport,-2.0831968868151307e-05,-0.0017105643637478352,0.9939979910850525,-0.010150924856797135,-0.00021757644668328309,-8.632872377376147e-05,-0.0001521959202364087,0.040925804525613785,-0.3514202833175659,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923824561766316,0.49500289767547023,0.05510547300679742,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377698501733228,0.5525901258925958,0.04808446345543021,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14932818374107423,-0.5467535501263355,0.04453030031131841,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.1036870339424642,-0.489316339091816,0.03750776789189821
0.025,warmup_qsupport,-2.219993621110916e-05,-0.0013768593780696392,0.9903913140296936,-0.010674282746935763,-0.00023218959359608369,-9.156587246937787e-05,-0.0001627148740226403,0.038834843784570694,-0.432235985994339,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14923861588744006,0.49460260338246537,0.0589652661802655,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377702321592847,0.5521921328780995,0.05197807949568482,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14933401012414427,-0.5471481508198528,0.04784488100411837,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10368161524206461,-0.4897086376869233,0.040856092938661055
0.03333333333333333,warmup_qsupport,-2.367765409871936e-05,-0.001059478148818016,0.9861108064651489,-0.01125156101501979,-0.00024778457879932024,-9.720012782729633e-05,-0.00017233300604857504,0.036926623433828354,-0.5131261348724365,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.1492392065670108,0.49420374127612615,0.0635251183193465,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377683171861282,0.5517958150131028,0.05657510885647473,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14934047062659148,-0.5475402406326082,0.051803352100261914,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10367555307659408,-0.49009818228309815,0.04485165465518752
0.041666666666666664,warmup_qsupport,-2.5211309548467398e-05,-0.0007568774744868279,0.9811555743217468,-0.011879011573489622,-0.0002643092561345474,-0.00010320338253586854,-0.0001811605179682374,0.03518495708703995,-0.5940854549407959,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14924007611762521,0.49380329608257467,0.0687840303324724,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377644670111022,0.551398153934517,0.061874320761715826,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14934759442717202,-0.547933181998297,0.05640862027384022,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10366891290848779,-0.49048833845323925,0.04949712859349892
0.049999999999999996,warmup_qsupport,-2.6846624678000808e-05,-0.0004678415134549141,0.9755252599716187,-0.012551772907361028,-0.00028167824879762025,-0.00010953599741405013,-0.00018924518371932209,0.03359508141875267,-0.6751089692115784,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14924129847494993,0.49339823390437465,0.07473989370281303,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.1037757351967118,0.5509960734005122,0.06787330712599202,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14935541416504275,-0.5483297430374052,0.061663642766663015,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.1036616030734936,-0.4908819166239538,0.05479517315630894
0.05833333333333333,warmup_qsupport,-2.8527516406029463e-05,-0.000191153259947896,0.9692193865776062,-0.013266099649444297,-0.0002998261789625535,-0.00011616780357860913,-0.00019663982675410807,0.032143592834472656,-0.756192147731781,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14924288042777611,0.4929854704680782,0.08139128201638247,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377469345840146,0.5505864663541981,0.0745704094088881,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14936390519873402,-0.5487329862912554,0.06757089624833856,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10365365125938229,-0.4912820021168763,0.060748033448856584
0.06666666666666667,warmup_qsupport,-3.0275608878582716e-05,7.422920316457748e-05,0.9622372984886169,-0.014017868508454429,-0.0003186819729108687,-0.00012306528525707014,-0.00020340809714980423,0.030818304046988487,-0.837330162525177,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.1492448729283508,0.49256192898851486,0.08873674468272003,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10377321169545024,0.5501662178770923,0.08196392354353986,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14937308356340928,-0.5491457238839423,0.07413322695945278,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10364498259753674,-0.49169144515130164,0.06735830285408545
0.075,warmup_qsupport,-3.207294503226876e-05,0.00032927445136010647,0.9545788764953613,-0.014804464438650316,-0.0003382041084479885,-0.00013020789672864202,-0.00020959465473424643,0.029608003795146942,-0.9185190796852112,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.1492473744568018,0.4921247275925983,0.09677508056360803,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.1037712861843551,0.5497324499635587,0.09005248458498188,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14938302633443945,-0.5495711864813239,0.08135215947006476,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.10363561477229315,-0.4921134725758654,0.07462734252782001
0.08333333333333333,warmup_qsupport,-3.393922816030681e-05,0.0005748998373746872,0.9462435245513916,-0.01562289205380826,-0.00035833934829851817,-0.00013757133603363762,-0.00021524356270674616,0.028502561151981354,-0.9997550845146179,0.0,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_front_knee_link/toe_proxy,0.14924927132594323,0.4938132366923357,1.0441084371660951,0.14925043376938166,0.49167070791588247,0.10550533043439207,0.5,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_front_knee_link/toe_proxy,-0.10375929620763458,0.5513480633346343,1.0364481869718785,-0.10376881051783643,0.5492819722845856,0.09883494922932339,0.5,0.7999999523162842,0.29999998211860657,0.0,0.0,warmup,/World/bittle/left_back_knee_link/toe_proxy,0.14924927132594323,-0.547996739408586,1.0441084371660951,0.14939375695003307,-0.550012265644905,0.08922985652768516,0.0,-0.7999999523162842,-0.29999998211860657,0.0,0.0,warmup,/World/bittle/right_back_knee_link/toe_proxy,-0.10375929620763458,-0.490611937657187,1.0364481869718785,-0.1036254666980617,-0.49255100787821715,0.08255713158791127
